date,action,rule,trade_pct,btc_price,usdt_before,usdt_delta,usdt_after,btc_before,btc_delta,btc_fee,btc_after,nav,peak_nav,drawdown_pct,bear_pause,contrib_gross,contrib_net,perf_fee_paid,cum_gross_contrib,cagr_pct,,,
2023/02/23,BUY,Base3,22,23939.67,1.4072,-0.3096,1.0977,3.68594055,0.00001292,0.00000001,3.68595347,88241.61,164199.24,46.2594,0,0,0,0,29000,42.4381,,,
2023/02/24,BUY,Base3,22,23194.5,1.0977,-0.2415,0.8562,3.68595347,0.0000104,0.00000001,3.68596387,85494.95,164199.24,47.9322,0,0,0,0,29000,40.9713,,,
2023/02/25,BUY,Base3,22,23163.05,0.8562,-0.1884,0.6678,3.68596387,0.00000813,0.00000001,3.685972,85379.02,164199.24,48.0028,0,0,0,0,29000,40.8686,,,
2023/02/26,BUY,Base3,22,23557.22,0.6678,-0.1469,0.5209,3.685972,0.00000623,0,3.68597823,86831.92,164199.24,47.118,0,0,0,0,29000,41.5821,,,
2023/02/27,BUY,Base3,22,23499.83,0.5209,-0.1146,0.4063,3.68597823,0.00000487,0,3.6859831,86620.38,164199.24,47.2468,0,0,0,0,29000,41.4301,,,
2023/02/28,BUY,Base3,22,23131.3,0.4063,-0.0894,0.3169,3.6859831,0.00000386,0,3.68598696,85261.99,164199.24,48.0741,0,0,0,0,29000,40.6821,,,
2023/03/01,BUY,Base3,22,23649.48,495.6737,-109.0482,386.6255,3.68598696,0.00460733,0.00000369,3.69059429,87667.26,164199.24,46.6092,0,500,495.3568,0,29500,41.1183,,,
2023/03/02,BUY,Base3,22,23470.04,386.6255,-85.0576,301.5679,3.69059429,0.00362119,0.0000029,3.69421549,87004.95,164199.24,47.0126,0,0,0,0,29500,40.7387,,,
2023/03/03,BUY,Base2,27,22361.12,301.5679,-81.4233,220.1445,3.69421549,0.00363838,0.00000291,3.69785386,82908.3,164199.24,49.5075,0,0,0,0,29500,38.5711,,,
2023/03/04,BUY,Base2,27,22355.83,220.1445,-59.439,160.7055,3.69785386,0.00265664,0.00000213,3.70051051,82888.69,164199.24,49.5194,0,0,0,0,29500,38.5218,,,
2023/03/05,BUY,Base2,27,22429.49,160.7055,-43.3905,117.315,3.70051051,0.00193298,0.00000155,3.70244349,83161.23,164199.24,49.3535,0,0,0,0,29500,38.6262,,,
2023/03/06,BUY,Base2,27,22412.67,117.315,-31.6751,85.64,3.70244349,0.00141214,0.00000113,3.70385562,83098.93,164199.24,49.3914,0,0,0,0,29500,38.5544,,,
2023/03/07,BUY,Base2,27,22200.25,85.64,-23.1228,62.5172,3.70385562,0.00104072,0.00000083,3.70489634,82312.14,164199.24,49.8706,0,0,0,0,29500,38.1016,,,
2023/03/08,BUY,Base2,27,21710.7,62.5172,-16.8796,45.6375,3.70489634,0.00077686,0.00000062,3.7056732,80498.4,164199.24,50.9752,0,0,0,0,29500,37.0997,,,
2023/03/09,BUY,Base2,27,20375.68,45.6375,-12.3221,33.3154,3.7056732,0.00060426,0.00000048,3.70627747,75551.24,164199.24,53.9881,0,0,0,0,29500,34.3593,,,
2023/03/10,BUY,Base2,27,20213.76,33.3154,-8.9952,24.3202,3.70627747,0.00044465,0.00000036,3.70672211,74951.11,164199.24,54.3536,0,0,0,0,29500,33.9895,,,
2023/03/11,BUY,Base2,27,20620.21,24.3202,-6.5665,17.7538,3.70672211,0.00031819,0.00000025,3.70704031,76457.7,164199.24,53.436,0,0,0,0,29500,34.7942,,,
2023/03/12,BUY,Base2,27,22145.88,17.7538,-4.7935,12.9603,3.70704031,0.00021628,0.00000017,3.70725658,82113.42,164199.24,49.9916,0,0,0,0,29500,37.8062,,,
2023/03/13,BUY,Base3,22,24208.73,12.9603,-2.8513,10.109,3.70725658,0.00011768,0.00000009,3.70737427,89760.93,164199.24,45.3341,0,0,0,0,29500,41.662,,,
2023/03/14,BUY,Base3,22,24763.56,10.109,-2.224,7.885,3.70737427,0.00008974,0.00000007,3.707464,91817.89,164199.24,44.0814,0,0,0,0,29500,42.6267,,,
2023/03/15,BUY,Base3,22,24380.34,7.885,-1.7347,6.1503,3.707464,0.00007109,0.00000006,3.7075351,90397.12,164199.24,44.9467,0,0,0,0,29500,41.8904,,,
2023/03/16,BUY,Base3,22,25057.72,6.1503,-1.3531,4.7972,3.7075351,0.00005395,0.00000004,3.70758905,92908.53,164199.24,43.4172,0,0,0,0,29500,43.0666,,,
2023/03/17,BUY,Base4,20,27449.21,4.7972,-0.9594,3.8378,3.70758905,0.00003493,0.00000003,3.70762398,101775.19,164199.24,38.0173,0,0,0,0,29500,47.1475,,,
2023/03/18,BUY,Base4,20,26990.21,3.8378,-0.7676,3.0702,3.70762398,0.00002842,0.00000002,3.7076524,100073.39,164199.24,39.0537,0,0,0,0,29500,46.328,,,
2023/03/19,BUY,Base4,20,28043.87,3.0702,-0.614,2.4562,3.7076524,0.00002188,0.00000002,3.70767427,103979.99,164199.24,36.6745,0,0,0,0,29500,48.0353,,,
2023/03/20,BUY,Base4,20,27808.55,2.4562,-0.4912,1.965,3.70767427,0.00001765,0.00000001,3.70769192,103107.5,164199.24,37.2059,0,0,0,0,29500,47.5984,,,
